Expression	Value	Location	Type	
b	<struct>	Memory:0x7684	polyvec	
vec	<array>	Memory:0x7684	poly [2]	
[0]	<struct>	Memory:0x7684	poly	
coeffs	<array>	Memory:0x7684	int[256]	
[0]	0x2c	Memory:0x7684	int	
[1]	0xfa50	Memory:0x7686	int	
[2]	0xfc5d	Memory:0x7688	int	
[3]	0x192	Memory:0x768a	int	
[4]	0x5a2	Memory:0x768c	int	
[5]	0x542	Memory:0x768e	int	
[6]	0xfd7d	Memory:0x7690	int	
[7]	0xfbd3	Memory:0x7692	int	
[8]	0xfc50	Memory:0x7694	int	
[9]	0x27f	Memory:0x7696	int	
[10]	0xfa0c	Memory:0x7698	int	
[11]	0xf9cb	Memory:0x769a	int	
[12]	0x4d2	Memory:0x769c	int	
[13]	0xfbf4	Memory:0x769e	int	
[14]	0xfdf3	Memory:0x76a0	int	
[15]	0x398	Memory:0x76a2	int	
[16]	0x5f0	Memory:0x76a4	int	
[17]	0xfc25	Memory:0x76a6	int	
[18]	0xfc39	Memory:0x76a8	int	
[19]	0xfa0e	Memory:0x76aa	int	
[20]	0x431	Memory:0x76ac	int	
[21]	0xf9ba	Memory:0x76ae	int	
[22]	0x605	Memory:0x76b0	int	
[23]	0xffc4	Memory:0x76b2	int	
[24]	0x14b	Memory:0x76b4	int	
[25]	0xffd0	Memory:0x76b6	int	
[26]	0xfb97	Memory:0x76b8	int	
[27]	0x507	Memory:0x76ba	int	
[28]	0xffb3	Memory:0x76bc	int	
[29]	0xfcf2	Memory:0x76be	int	
[30]	0xfc52	Memory:0x76c0	int	
[31]	0xfe4b	Memory:0x76c2	int	
[32]	0x18	Memory:0x76c4	int	
[33]	0xfb02	Memory:0x76c6	int	
[34]	0xfbde	Memory:0x76c8	int	
[35]	0xfddc	Memory:0x76ca	int	
[36]	0xfe2e	Memory:0x76cc	int	
[37]	0xfb96	Memory:0x76ce	int	
[38]	0xff5d	Memory:0x76d0	int	
[39]	0x3c8	Memory:0x76d2	int	
[40]	0xa1	Memory:0x76d4	int	
[41]	0x5b5	Memory:0x76d6	int	
[42]	0x344	Memory:0x76d8	int	
[43]	0x328	Memory:0x76da	int	
[44]	0x37a	Memory:0x76dc	int	
[45]	0xfe37	Memory:0x76de	int	
[46]	0xfc3c	Memory:0x76e0	int	
[47]	0x45f	Memory:0x76e2	int	
[48]	0x4cc	Memory:0x76e4	int	
[49]	0xfb35	Memory:0x76e6	int	
[50]	0x617	Memory:0x76e8	int	
[51]	0xfdda	Memory:0x76ea	int	
[52]	0xfc69	Memory:0x76ec	int	
[53]	0xfdee	Memory:0x76ee	int	
[54]	0x313	Memory:0x76f0	int	
[55]	0xfdd9	Memory:0x76f2	int	
[56]	0xff0a	Memory:0x76f4	int	
[57]	0x50c	Memory:0x76f6	int	
[58]	0xfc5b	Memory:0x76f8	int	
[59]	0xfa4e	Memory:0x76fa	int	
[60]	0x138	Memory:0x76fc	int	
[61]	0x151	Memory:0x76fe	int	
[62]	0xfc3a	Memory:0x7700	int	
[63]	0x1f0	Memory:0x7702	int	
[64]	0x16a	Memory:0x7704	int	
[65]	0xfadf	Memory:0x7706	int	
[66]	0x340	Memory:0x7708	int	
[67]	0x162	Memory:0x770a	int	
[68]	0xfad4	Memory:0x770c	int	
[69]	0xfd54	Memory:0x770e	int	
[70]	0x13b	Memory:0x7710	int	
[71]	0xffd8	Memory:0x7712	int	
[72]	0x109	Memory:0x7714	int	
[73]	0xfcee	Memory:0x7716	int	
[74]	0x3ba	Memory:0x7718	int	
[75]	0xfc0e	Memory:0x771a	int	
[76]	0x2ff	Memory:0x771c	int	
[77]	0xfa3d	Memory:0x771e	int	
[78]	0x590	Memory:0x7720	int	
[79]	0xfb77	Memory:0x7722	int	
[80]	0x91	Memory:0x7724	int	
[81]	0x10c	Memory:0x7726	int	
[82]	0x68	Memory:0x7728	int	
[83]	0x6e	Memory:0x772a	int	
[84]	0xfd96	Memory:0x772c	int	
[85]	0xfa22	Memory:0x772e	int	
[86]	0xfa13	Memory:0x7730	int	
[87]	0x1b	Memory:0x7732	int	
[88]	0xff5b	Memory:0x7734	int	
[89]	0xfe58	Memory:0x7736	int	
[90]	0x4e9	Memory:0x7738	int	
[91]	0x571	Memory:0x773a	int	
[92]	0x311	Memory:0x773c	int	
[93]	0x52e	Memory:0x773e	int	
[94]	0xfb3e	Memory:0x7740	int	
[95]	0x480	Memory:0x7742	int	
[96]	0x4e7	Memory:0x7744	int	
[97]	0xfdcd	Memory:0x7746	int	
[98]	0x3fe	Memory:0x7748	int	
[99]	0x57a	Memory:0x774a	int	
[100]	0xf9f6	Memory:0x774c	int	
[101]	0xfa64	Memory:0x774e	int	
[102]	0xfab8	Memory:0x7750	int	
[103]	0x365	Memory:0x7752	int	
[104]	0x342	Memory:0x7754	int	
[105]	0xfb87	Memory:0x7756	int	
[106]	0xbf	Memory:0x7758	int	
[107]	0x393	Memory:0x775a	int	
[108]	0xec	Memory:0x775c	int	
[109]	0xfc16	Memory:0x775e	int	
[110]	0x668	Memory:0x7760	int	
[111]	0x23e	Memory:0x7762	int	
[112]	0x5c4	Memory:0x7764	int	
[113]	0x166	Memory:0x7766	int	
[114]	0xfaca	Memory:0x7768	int	
[115]	0xfae7	Memory:0x776a	int	
[116]	0x492	Memory:0x776c	int	
[117]	0xfc80	Memory:0x776e	int	
[118]	0xfe4a	Memory:0x7770	int	
[119]	0x670	Memory:0x7772	int	
[120]	0xfbc8	Memory:0x7774	int	
[121]	0xff5a	Memory:0x7776	int	
[122]	0xfec8	Memory:0x7778	int	
[123]	0x448	Memory:0x777a	int	
[124]	0x3fb	Memory:0x777c	int	
[125]	0x494	Memory:0x777e	int	
[126]	0xfbc4	Memory:0x7780	int	
[127]	0xfbf7	Memory:0x7782	int	
[128]	0x2cb	Memory:0x7784	int	
[129]	0x407	Memory:0x7786	int	
[130]	0xe9	Memory:0x7788	int	
[131]	0xf9c1	Memory:0x778a	int	
[132]	0x5	Memory:0x778c	int	
[133]	0xfe65	Memory:0x778e	int	
[134]	0xffa5	Memory:0x7790	int	
[135]	0xfcbf	Memory:0x7792	int	
[136]	0x101	Memory:0x7794	int	
[137]	0x379	Memory:0x7796	int	
[138]	0x48a	Memory:0x7798	int	
[139]	0xff48	Memory:0x779a	int	
[140]	0xfcd7	Memory:0x779c	int	
[141]	0xfb53	Memory:0x779e	int	
[142]	0xe5	Memory:0x77a0	int	
[143]	0x450	Memory:0x77a2	int	
[144]	0xfb32	Memory:0x77a4	int	
[145]	0x1d0	Memory:0x77a6	int	
[146]	0x67d	Memory:0x77a8	int	
[147]	0xfc04	Memory:0x77aa	int	
[148]	0x427	Memory:0x77ac	int	
[149]	0xfca6	Memory:0x77ae	int	
[150]	0xfa50	Memory:0x77b0	int	
[151]	0x663	Memory:0x77b2	int	
[152]	0xfaaf	Memory:0x77b4	int	
[153]	0x3e5	Memory:0x77b6	int	
[154]	0xfec8	Memory:0x77b8	int	
[155]	0x58e	Memory:0x77ba	int	
[156]	0xfcc7	Memory:0x77bc	int	
[157]	0xf987	Memory:0x77be	int	
[158]	0x48b	Memory:0x77c0	int	
[159]	0x44a	Memory:0x77c2	int	
[160]	0x11f	Memory:0x77c4	int	
[161]	0xfedb	Memory:0x77c6	int	
[162]	0xfd3f	Memory:0x77c8	int	
[163]	0xff07	Memory:0x77ca	int	
[164]	0x373	Memory:0x77cc	int	
[165]	0x55c	Memory:0x77ce	int	
[166]	0x27e	Memory:0x77d0	int	
[167]	0xfc06	Memory:0x77d2	int	
[168]	0xfa18	Memory:0x77d4	int	
[169]	0x3bb	Memory:0x77d6	int	
[170]	0xfb56	Memory:0x77d8	int	
[171]	0x3bc	Memory:0x77da	int	
[172]	0x21	Memory:0x77dc	int	
[173]	0x5d7	Memory:0x77de	int	
[174]	0xfc8f	Memory:0x77e0	int	
[175]	0x342	Memory:0x77e2	int	
[176]	0xfa73	Memory:0x77e4	int	
[177]	0xfbfa	Memory:0x77e6	int	
[178]	0x45f	Memory:0x77e8	int	
[179]	0x3bc	Memory:0x77ea	int	
[180]	0xfcdc	Memory:0x77ec	int	
[181]	0x438	Memory:0x77ee	int	
[182]	0x2dd	Memory:0x77f0	int	
[183]	0x475	Memory:0x77f2	int	
